round,param,value,loss,wall_s
2,β₆ per_req,1.98923522,34.362136,3610
2,β₆ per_req,1.99664955,34.366560,3633
2,β₃ wt_load,1.13403996,36.176025,3654
2,β₃ wt_load,1.39607542,36.640954,3679
2,β₃ wt_load,0.97209315,43.370243,3696
2,β₃ wt_load,1.23412860,34.718305,3720
2,β₃ wt_load,1.29598678,34.447794,3744
2,β₃ wt_load,1.33421724,34.944260,3768
2,β₃ wt_load,1.27235906,34.075419,3792
2,β₃ wt_load,1.25775632,34.099737,3815
2,β₃ wt_load,1.28138404,34.337501,3839
2,β₃ wt_load,1.26678131,34.190607,3862
2,β₃ wt_load,1.27580630,34.466012,3886
2,β₃ wt_load,1.27022855,34.104453,3909
2,β₃ wt_load,1.27301742,34.080306,3933
2,β₅ per_layer,29.43970242,34.460388,3956
2,β₅ per_layer,34.75123192,34.256641,3980
2,β₅ per_layer,38.03393768,34.733954,4004
2,β₅ per_layer,32.72240818,34.094561,4027
2,β₅ per_layer,31.46852616,34.023902,4050
2,β₅ per_layer,30.69358445,34.424069,4073
2,β₅ per_layer,31.94746647,34.334669,4097
2,β₅ per_layer,31.17252476,34.474555,4120
2,β₅ per_layer,31.65146508,34.029449,4144
2,β₅ per_layer,31.35546369,34.268469,4168
2,β₅ per_layer,31.53840261,34.125541,4191
2,β₅ per_layer,31.44693315,34.191807,4214
2,β₈ moe,453.53323150,34.274030,4238
2,β₈ moe,510.18954610,34.048396,4262
2,β₈ moe,545.20507420,34.300932,4285
2,β₈ moe,488.54875960,33.956573,4309
2,β₈ moe,475.17401800,34.023581,4333
2,β₈ moe,496.81480450,33.982280,4356
2,β₈ moe,483.44006290,34.038333,4380
2,β₈ moe,491.70610780,33.959401,4403
2,β₈ moe,486.59741110,33.916275,4426
2,β₈ moe,485.39141140,33.940937,4450
2,β₈ moe,487.34275990,33.971883,4473
2,β₈ moe,486.36708565,33.989722,4497
2,β₂ᵦ dc_mem,1.93053521,34.184134,4518
2,β₂ᵦ dc_mem,2.26339105,35.134263,4544
2,β₂ᵦ dc_mem,1.72481898,35.088824,4564
2,β₂ᵦ dc_mem,2.05767483,34.553705,4588
2,β₂ᵦ dc_mem,1.85195860,34.828787,4609
2,β₂ᵦ dc_mem,1.97909822,34.112328,4631
2,β₂ᵦ dc_mem,2.00911181,34.123353,4653
