gen,job,a0,g1,g2,g3,g7pf,g8,g9,g7dc,a2,loss,wall_s
25,244,12450.6,0.03002,0.16743,1.01600,15.952,433.740,157.338,148.179,10.6711,73.322989,3515
25,245,17851.9,0.03845,0.12275,0.47027,16.834,435.797,171.948,233.098,10.7020,60.298836,3515
25,246,29223.5,0.05122,0.05250,0.47574,41.819,408.836,232.822,176.404,6.3991,83.683684,3515
25,247,12061.6,0.04252,0.27174,0.49434,13.322,345.273,604.974,271.882,14.8154,62.848259,3515
25,248,15087.2,0.03000,0.05134,0.60638,27.964,498.477,310.792,360.502,10.4785,71.353963,3515
25,249,11457.9,0.03553,0.30750,0.79183,62.502,373.827,665.368,486.817,9.4376,127.233301,3515
25,250,11882.4,0.03096,0.08319,1.01671,46.610,420.929,450.648,197.568,13.4700,65.939268,3515
26,251,16956.4,0.03187,0.20624,0.58763,10.072,475.914,471.748,289.963,12.0581,61.344938,3642
26,252,16840.3,0.03571,0.05850,0.68018,13.820,445.846,281.015,219.070,11.6718,61.108739,3642
26,253,15387.2,0.05202,0.28697,0.32207,11.803,498.285,227.658,386.792,10.2887,69.009548,3642
26,254,14892.2,0.03481,0.11237,0.44030,30.622,443.790,394.608,206.825,14.7175,63.695558,3642
26,255,12451.9,0.03226,0.23174,0.55453,5.746,490.133,276.402,226.836,7.1244,65.010113,3642
26,256,15176.3,0.03519,0.29002,0.92330,41.729,488.430,485.663,194.194,13.4550,68.616243,3642
26,257,9214.4,0.04575,0.16423,0.56495,31.756,379.623,205.676,205.216,9.6841,71.306731,3642
26,258,9086.0,0.03378,0.24905,0.45325,17.576,432.341,418.858,282.361,14.9664,63.925459,3642
26,259,14199.6,0.04965,0.45443,0.61594,16.520,499.994,460.229,195.718,12.4011,61.300718,3642
26,260,14021.1,0.03535,0.20083,0.89311,28.954,387.082,127.227,130.690,6.7832,74.135930,3642
